Key,Values
G1a,"[(0.18755950377044237+6.165965008081821e-17j), (-5.124573074396961e-08-3.350572044825296e-17j), (-1.89010207817052e-08-4.3987859755198993e-17j), (-0.048853485291420154-1.2531860483963366e-17j), (1.9685912288912264e-08+5.0622778472584807e-17j), (0.004385823259943713+1.698354152855754e-16j), (2.0293285461134732e-08-8.896946949740052e-17j), (0.021214846763855835+3.847686683746085e-18j), (-1.555739383085272e-09+5.103228002289799e-17j), (-6.893048871360395e-10+5.155310302926642e-17j), (0.0011825979688254308-2.2644467862622126e-17j), (-7.645801545921427e-09-1.2684979363477812e-17j), (-0.010389136294674016-4.459501036374732e-17j), (-3.64326630538872e-09-7.122992894549292e-17j), (-0.0017286755341517027-1.190812532306154e-16j), (-3.891961349352648e-09+7.335214150851994e-17j), (-0.001751480131801283-1.5969079376580116e-17j), (1.341878315699743e-09-1.987062766874709e-17j), (0.005304183140234229-4.5323298207229363e-17j), (4.2686311851386696e-09-4.5780251247413824e-17j), (2.302577269826712e-09-5.2197684669019045e-18j), (0.0009085924242455687+5.551036888855961e-18j), (2.764797463095615e-09-5.996698957134234e-17j), (0.0013382433541671305+1.0327896393493518e-17j), (6.347831034004939e-10-1.2367360008906351e-17j), (-0.0026891392622832855-8.29121691097251e-17j), (-3.2436637025651014e-09-1.1267561368341688e-16j), (-0.00021080545778854064+9.123038607070532e-17j), (-4.385531961976719e-10-6.14918089645932e-17j), (-0.0003638180043206111-3.9024654800205584e-17j), (-1.2828738892228056e-09-6.358723616403284e-17j), (-0.00091453930590055-6.796720792773908e-17j), (-1.6464364370136958e-09-1.11180152034192e-17j), (0.0011217996355481633-4.031696647358532e-17j), (1.3438912520559566e-09+6.37202513437163e-17j)]"
G1b,(-0.7502380150817695-2.78004322727543e-19j)
G1c,"[(0.5000001225294971+5.5448810489518376e-17j), (-0.2774120369580444+6.071532165918825e-18j), (-0.0942383564475457-7.974893291611852e-17j), (3.016755374270884e-08+1.8480682302841307e-17j), (0.055277277055128526+4.7704895589362195e-17j), (-2.0996245098991983e-08+1.8460435613345092e-16j), (0.022070217298795197-1.437652080715779e-16j), (-3.077765676064605e-08+7.295020138465806e-17j), (-0.021651420938363454+7.209944447028604e-17j), (-0.005022343663442692+3.2334754931234274e-17j), (-8.066217594159831e-09-7.236244995816731e-17j), (-0.010256828306205716+4.797594613248357e-18j), (1.1502929329164125e-08+1.5998237597543623e-18j), (0.010169906308880202-1.2195305036653806e-16j), (6.170650424199221e-09-1.3088818703461057e-16j), (0.0013889652728818365+1.163891032163189e-16j), (7.431087157573096e-09-1.6598411105485813e-17j), (0.005498189932073982-1.0299920638612292e-18j), (-2.6020260221180956e-09-9.98041266614952e-17j), (-0.005230087755902149-6.965998958219366e-17j), (0.0001222961434488971+1.180506811542486e-16j), (-7.368600703394062e-10-7.151147249676447e-17j), (-0.00013153764229085227-5.1626658135149606e-17j), (-3.4585848051635548e-09-3.8251662756893616e-17j), (-0.0030387479262174075-8.469769661115763e-17j), (-1.3314117453261832e-11-1.987443877669767e-16j), (0.003134679253470378-2.3634929733826193e-16j), (-1.1233588597569959e-09+1.505777744267726e-16j), (-0.00036498335398569-1.0260618309859693e-16j), (-9.484934728298331e-10-3.943016331241501e-17j), (-0.00034074243264473004-2.15088770362179e-16j), (9.803364920347818e-10-1.4534977972854007e-16j), (0.0015390661947652685-5.696804790053522e-17j), (6.530513372679148e-10-4.903026591420211e-17j), (-0.0007547590011189761+9.24959978401696e-17j)]"
G1d,"[(0.18755950377044237+6.165965008081821e-17j), (-5.124573074396961e-08-3.350572044825296e-17j), (-1.89010207817052e-08-4.3987859755198993e-17j), (-0.048853485291420154-1.2531860483963366e-17j), (1.9685912288912264e-08+5.0622778472584807e-17j), (0.004385823259943713+1.698354152855754e-16j), (2.0293285461134732e-08-8.896946949740052e-17j), (0.021214846763855835+3.847686683746085e-18j), (-1.555739383085272e-09+5.103228002289799e-17j), (-6.893048871360395e-10+5.155310302926642e-17j), (0.0011825979688254308-2.2644467862622126e-17j), (-7.645801545921427e-09-1.2684979363477812e-17j), (-0.010389136294674016-4.459501036374732e-17j), (-3.64326630538872e-09-7.122992894549292e-17j), (-0.0017286755341517027-1.190812532306154e-16j), (-3.891961349352648e-09+7.335214150851994e-17j), (-0.001751480131801283-1.5969079376580116e-17j), (1.341878315699743e-09-1.987062766874709e-17j), (0.005304183140234229-4.5323298207229363e-17j), (4.2686311851386696e-09-4.5780251247413824e-17j), (2.302577269826712e-09-5.2197684669019045e-18j), (0.0009085924242455687+5.551036888855961e-18j), (2.764797463095615e-09-5.996698957134234e-17j), (0.0013382433541671305+1.0327896393493518e-17j), (6.347831034004939e-10-1.2367360008906351e-17j), (-0.0026891392622832855-8.29121691097251e-17j), (-3.2436637025651014e-09-1.1267561368341688e-16j), (-0.00021080545778854064+9.123038607070532e-17j), (-4.385531961976719e-10-6.14918089645932e-17j), (-0.0003638180043206111-3.9024654800205584e-17j), (-1.2828738892228056e-09-6.358723616403284e-17j), (-0.00091453930590055-6.796720792773908e-17j), (-1.6464364370136958e-09-1.11180152034192e-17j), (0.0011217996355481633-4.031696647358532e-17j), (1.3438912520559566e-09+6.37202513437163e-17j)]"
G1f,"[(0.5000001225294971+5.5448810489518376e-17j), (-0.2774120369580444+6.071532165918825e-18j), (-0.0942383564475457-7.974893291611852e-17j), (3.016755374270884e-08+1.8480682302841307e-17j), (0.055277277055128526+4.7704895589362195e-17j), (-2.0996245098991983e-08+1.8460435613345092e-16j), (0.022070217298795197-1.437652080715779e-16j), (-3.077765676064605e-08+7.295020138465806e-17j), (-0.021651420938363454+7.209944447028604e-17j), (-0.005022343663442692+3.2334754931234274e-17j), (-8.066217594159831e-09-7.236244995816731e-17j), (-0.010256828306205716+4.797594613248357e-18j), (1.1502929329164125e-08+1.5998237597543623e-18j), (0.010169906308880202-1.2195305036653806e-16j), (6.170650424199221e-09-1.3088818703461057e-16j), (0.0013889652728818365+1.163891032163189e-16j), (7.431087157573096e-09-1.6598411105485813e-17j), (0.005498189932073982-1.0299920638612292e-18j), (-2.6020260221180956e-09-9.98041266614952e-17j), (-0.005230087755902149-6.965998958219366e-17j), (0.0001222961434488971+1.180506811542486e-16j), (-7.368600703394062e-10-7.151147249676447e-17j), (-0.00013153764229085227-5.1626658135149606e-17j), (-3.4585848051635548e-09-3.8251662756893616e-17j), (-0.0030387479262174075-8.469769661115763e-17j), (-1.3314117453261832e-11-1.987443877669767e-16j), (0.003134679253470378-2.3634929733826193e-16j), (-1.1233588597569959e-09+1.505777744267726e-16j), (-0.00036498335398569-1.0260618309859693e-16j), (-9.484934728298331e-10-3.943016331241501e-17j), (-0.00034074243264473004-2.15088770362179e-16j), (9.803364920347818e-10-1.4534977972854007e-16j), (0.0015390661947652685-5.696804790053522e-17j), (6.530513372679148e-10-4.903026591420211e-17j), (-0.0007547590011189761+9.24959978401696e-17j)]"
G1a_,"[(0.1948870685204658+3.498045451588769e-17j), (0.004290505555685057-4.417874255040097e-17j), (-0.0008273974993158162+7.652660361035375e-17j), (-0.05403568782518734+3.065888646588743e-17j), (-0.0033752514136321517-2.3689817468808272e-17j), (0.006595446398091946+1.402519885432408e-16j), (-0.000207195764281883+7.063577153743061e-17j), (0.024709454962008454-3.071175419294111e-17j), (0.0024021161848901433-2.6397448295688643e-17j), (0.0006431170849667008+2.0747405326053558e-17j), (0.00045334622299560314-1.5147831824834362e-17j), (0.000580494573128421-3.008373568213936e-17j), (-0.012682729488788753-7.573271564600071e-17j), (-0.001679007646330696-7.552831577891643e-18j), (-0.0018367211001419344-1.5401543920557843e-16j), (-0.0004960723371326047-6.645901748425176e-17j), (-0.0016427796842587601-2.920901766880306e-17j), (-0.0006173761563920354-2.3393488116834076e-17j), (0.006758298967853489-5.778817123197882e-17j), (0.0011919195385004947+2.3362140549405615e-17j), (0.00019145288021817455-2.730195597711216e-16j), (0.0011411316771918244-4.1683135157164995e-17j), (0.0002527807555039633+4.33571652499198e-17j), (0.0014516695959499839-7.069993268773451e-18j), (0.0005126058712852383-5.398080988740867e-17j), (-0.003547311046389616-3.845216730267825e-17j), (-0.0008641106941575125+1.1265029978713842e-16j), (-0.00037638608402975205-6.312600448115563e-17j), (-2.5633842386535855e-06+9.201078889201596e-17j), (-0.0005657062321661114-3.94776568961323e-17j), (-6.802306330342273e-05-3.0315732468770177e-17j), (-0.0011113198888355119-2.834934715482566e-17j), (-0.0004238473190181281+4.903981951423497e-17j), (0.0015479265985764987+2.1414287239142312e-17j), (0.00027575760039547217+8.997212733774948e-17j)]"
G1b_,(-0.7502380150817691-2.78004322727543e-19j)
G1c_,"[(-0.49999987747050284-4.2035265799165145e-17j), (-0.2774120369580443+2.168404344971009e-17j), (-0.09423835644754557-8.052923459038737e-17j), (3.016755378403849e-08-1.0864722704149827e-16j), (0.055277277055128526-7.92009687000661e-17j), (-2.0996244785001664e-08-2.1540826421683637e-16j), (0.022070217298795436-1.4924042904262969e-16j), (-3.077765677663838e-08+6.7360042840311406e-18j), (-0.02165142093836346+1.2576745200831851e-17j), (-0.005022343663442426+1.3028342721918553e-16j), (-8.06621729187291e-09+1.1542599149671715e-16j), (-0.010256828306205758+7.35089072945172e-17j), (1.1502929177845338e-08+6.747505765159596e-17j), (0.010169906308879862+2.6245728809186206e-17j), (6.170650477796515e-09+2.8104892241272605e-16j), (0.0013889652728820636+1.9315061702829261e-16j), (7.431087073651164e-09+4.1319895058510275e-17j), (0.005498189932074024+7.995991022080595e-18j), (-2.602026066903214e-09+1.0924563771695604e-16j), (-0.005230087755902071-9.768661574094395e-17j), (0.00012229614344951971+6.433776002784771e-16j), (-7.368598893988533e-10+3.5930696321670623e-16j), (-0.00013153764229079286+1.170768939694894e-17j), (-3.458584873236036e-09-1.7206786729586927e-18j), (-0.003038747926217537+2.980671762330509e-17j), (-1.331402182520995e-11+5.968862601346562e-17j), (0.0031346792534702674-1.7618115896299996e-16j), (-1.1233589234348645e-09+2.351127541497904e-16j), (-0.0003649833539859682+2.8053731213062427e-18j), (-9.484936519579686e-10+2.4279787497099468e-17j), (-0.0003407424326446782+2.6823839373649183e-17j), (9.803362705675707e-10+3.8207782754234944e-17j), (0.0015390661947649765-1.4123766175697106e-16j), (6.530512115122869e-10-1.3235716635079114e-16j), (-0.0007547590011191132-1.5451236210634045e-16j)]"
G1g,(-0.5000000000607929-1.3083412075447798e-17j)
G1h,(-0.49999999892377806-1.3588667228484988e-17j)
