Key,Values
G1i_,"[(8.105693006466019e-05-1.43947990999154e-17j), (-1.8338813879471318e-16-7.237665752986382e-17j), (-1.1633865181639807e-16+4.044634753190655e-17j), (-5.256128865482879e-12-6.31499113307393e-17j), (-1.1532777093340926e-17+5.955432496445007e-17j), (-1.752160916357326e-12+8.247696080444277e-17j), (-1.566285680459369e-17-5.688672499988157e-17j), (4.163336342344337e-17-2.5039825422847198e-17j), (1.3681212636580415e-16+4.155434864476442e-17j), (-2.368466644969778e-16+4.892568182459244e-18j), (-3.3393426912553537e-17-2.927932029180941e-17j), (-9.471368891475897e-17-3.544673740384287e-17j), (-1.3183898417423734e-16-5.842550696093618e-17j), (-1.6094896547252588e-16-5.63152479514976e-17j), (-1.0126448291014611e-16-9.73552563688752e-17j), (6.325692342676358e-17+9.563192793350777e-18j), (1.2397851842371743e-16-3.5059441098670765e-18j), (7.639654849082552e-17-3.1086599036682326e-17j), (2.2551405187698492e-17-3.975596496258236e-17j), (-8.443118539112459e-17-2.4828788492121716e-17j), (-1.2782079222136095e-16-7.147599248795196e-17j), (-2.883977778811442e-17-7.872977087077895e-17j), (4.4646418435504527e-17-2.99174749798155e-17j), (5.681219383824043e-17+5.916482408172044e-17j), (-7.586260009670009e-17-4.9430038427337674e-17j), (3.469446951953614e-17-7.939043208540514e-17j), (-1.302206218493896e-16-4.786675259999842e-17j), (2.684484579074109e-16+1.0732011873551247e-16j), (-7.069044486719792e-17+1.1376924865705341e-17j), (-7.43762690325056e-17-3.541807798704205e-17j), (-1.6695681134872302e-18-5.62329368561194e-17j), (-2.1033522146218786e-17-1.3502092386234899e-17j), (3.730073695867842e-17+8.461927294335604e-17j), (4.7704895589362195e-18+2.782547237316183e-17j), (-7.368498426842769e-18+9.093489661843942e-18j)]"
G2a,"[(0.4999974520231683+2.826653742767882e-17j), (-0.2634943036095706+8.965512804275763e-18j), (-0.09063397465820931-5.17778173612879e-17j), (-2.358021365530357e-07+1.5419934067832428e-17j), (0.05163662681192529+3.776314831743325e-17j), (3.891181817664566e-07+2.148917839412275e-16j), (0.019546044918759154-1.3877508135385692e-16j), (3.782595475195075e-07+7.000328985487779e-17j), (-0.021268651469080673+6.742018259652488e-17j), (-0.004577660460235041+3.7653163244402606e-17j), (-1.783352503297093e-07-8.269289612823567e-17j), (-0.009197232425278043-2.025498888009125e-18j), (-3.159109875187855e-07-2.3879738663041876e-18j), (0.010999578617407583-1.3140429181667181e-16j), (1.8881763265285806e-08-1.7470278090947034e-16j), (0.0017580519344583352+1.253919760643628e-16j), (6.601407442430333e-08-2.280572969084728e-17j), (0.0053452773283136495-6.263299777850171e-18j), (2.2967561064706958e-07-1.2270701980274232e-16j), (-0.006462186448493701-4.651396327319237e-17j), (-0.00028168158535614505+9.038611898307874e-17j), (2.7221653108540617e-08-5.4130028309632345e-17j), (-0.0005426051514184553-5.864777236683303e-17j), (-1.0578604351360938e-08-4.70050729608438e-17j), (-0.003316502899745434-9.132226616049533e-17j), (-1.489171138875111e-07-2.3012322723643565e-16j), (0.004303700812179273-1.9488065482306277e-16j), (-3.635763583849795e-08+1.5783105703573884e-16j), (-0.00021181197631895077-9.805277651022797e-17j), (-3.907922482269227e-08-6.247167765056828e-17j), (-8.750911710885245e-05-2.035370078492871e-16j), (-1.7842891641972562e-08-1.6036091548280276e-16j), (0.002133157863912005-4.5934615689651357e-17j), (8.33908457828071e-08-4.880489353798167e-17j), (-0.0012572727227923995+1.1883892160649521e-16j)]"
G2b,(-0.8707317454448138+3.195275243123574e-18j)
G2c,"[(0.4999974520231683+2.826653742767882e-17j), (-0.2634943036095706+8.965512804275763e-18j), (-0.09063397465820931-5.17778173612879e-17j), (-2.358021365530357e-07+1.5419934067832428e-17j), (0.05163662681192529+3.776314831743325e-17j), (3.891181817664566e-07+2.148917839412275e-16j), (0.019546044918759154-1.3877508135385692e-16j), (3.782595475195075e-07+7.000328985487779e-17j), (-0.021268651469080673+6.742018259652488e-17j), (-0.004577660460235041+3.7653163244402606e-17j), (-1.783352503297093e-07-8.269289612823567e-17j), (-0.009197232425278043-2.025498888009125e-18j), (-3.159109875187855e-07-2.3879738663041876e-18j), (0.010999578617407583-1.3140429181667181e-16j), (1.8881763265285806e-08-1.7470278090947034e-16j), (0.0017580519344583352+1.253919760643628e-16j), (6.601407442430333e-08-2.280572969084728e-17j), (0.0053452773283136495-6.263299777850171e-18j), (2.2967561064706958e-07-1.2270701980274232e-16j), (-0.006462186448493701-4.651396327319237e-17j), (-0.00028168158535614505+9.038611898307874e-17j), (2.7221653108540617e-08-5.4130028309632345e-17j), (-0.0005426051514184553-5.864777236683303e-17j), (-1.0578604351360938e-08-4.70050729608438e-17j), (-0.003316502899745434-9.132226616049533e-17j), (-1.489171138875111e-07-2.3012322723643565e-16j), (0.004303700812179273-1.9488065482306277e-16j), (-3.635763583849795e-08+1.5783105703573884e-16j), (-0.00021181197631895077-9.805277651022797e-17j), (-3.907922482269227e-08-6.247167765056828e-17j), (-8.750911710885245e-05-2.035370078492871e-16j), (-1.7842891641972562e-08-1.6036091548280276e-16j), (0.002133157863912005-4.5934615689651357e-17j), (8.33908457828071e-08-4.880489353798167e-17j), (-0.0012572727227923995+1.1883892160649521e-16j)]"
G2a_,"[(-0.5000025479768316-4.096608968935809e-17j), (-0.2634943036095705+2.393998392233289e-17j), (-0.0906339746582091-1.1390123191993942e-16j), (-2.3580213654681085e-07-1.369314851358342e-16j), (0.051636626811925296-7.450598664344074e-17j), (3.891181821022531e-07-2.6718301533746235e-16j), (0.0195460449187594-1.538997016600297e-16j), (3.7825954748767853e-07-8.89555563817169e-18j), (-0.021268651469080663+9.631920806349994e-18j), (-0.004577660460234772+1.193996114364451e-16j), (-1.78335250039638e-07+1.1133628451879414e-16j), (-0.009197232425278102+8.167462283117431e-17j), (-3.1591098767989107e-07+7.951424966082333e-17j), (0.010999578617407246+3.356089583065745e-17j), (1.8881763288459436e-08+3.2678655819961e-16j), (0.0017580519344585455+1.7943212870107162e-16j), (6.601407434919039e-08+5.88433583794363e-17j), (0.005345277328313676+3.063053430474731e-17j), (2.2967561060885029e-07+1.3042892477166185e-16j), (-0.0064621864484936155-9.799164429483747e-17j), (-0.00028168158535552153+6.734657582039348e-16j), (2.7221653289697738e-08+3.2681641458510113e-16j), (-0.0005426051514184186+2.344223939561488e-17j), (-1.0578604387182728e-08+8.333676064874664e-18j), (-0.0033165028997455695+4.1049085491428556e-17j), (-1.4891711377264672e-07+8.504948557639413e-17j), (0.004303700812179163-2.0279533068220695e-16j), (-3.635763591066082e-08+2.3032083375332974e-16j), (-0.00021181197631923884-8.045816126753203e-18j), (-3.907922499177343e-08+5.0214841498961553e-17j), (-8.750911710881428e-05+2.0135757116572775e-17j), (-1.7842891855752762e-08+5.544494564514488e-17j), (0.002133157863911709-1.5020775962844475e-16j), (8.339084567938427e-08-1.413482983555929e-16j), (-0.0012572727227925097-1.7840194384532617e-16j)]"
G2b_,(-0.8707547454448137+3.195275243123574e-18j)
G2d,"[(0.4999974520231683-2.8752709216172235e-17j), (-0.2634943036095706-1.0754485597203252e-17j), (-0.09063397465820931+5.36160046896762e-17j), (-2.3580213655364895e-07-1.55601341237655e-17j), (0.05163662681192529-3.807679364792778e-17j), (3.891181817665449e-07-2.1482747865470717e-16j), (0.019546044918759154+1.392685657800507e-16j), (3.782595475191471e-07-7.09736077257043e-17j), (-0.021268651469080673-6.756327387461792e-17j), (-0.004577660460235042-3.940130475313776e-17j), (-1.7833525032965445e-07+8.199617495664844e-17j), (-0.009197232425278042+1.4436620672469824e-18j), (-3.159109875183205e-07+3.947010945447558e-18j), (0.010999578617407581+1.3122286638339344e-16j), (1.8881763265808425e-08+1.7630780958616598e-16j), (0.0017580519344583356-1.2371079872587542e-16j), (6.601407442445082e-08+2.3403162376626443e-17j), (0.005345277328313648+6.778086510066211e-18j), (2.296756106467009e-07+1.2050810593477752e-16j), (-0.0064621864484937005+4.696618616647447e-17j), (-0.0002816815853561456-8.98029625945853e-17j), (2.7221653107965164e-08+5.211862700218682e-17j), (-0.0005426051514184555+5.857038978414522e-17j), (-1.0578604351287537e-08+4.658907209466789e-17j), (-0.0033165028997454334+9.092423878573454e-17j), (-1.489171138869848e-07+2.3099932396783884e-16j), (0.004303700812179272+1.9445634531648187e-16j), (-3.6357635838194847e-08-1.5850523140491005e-16j), (-0.00021181197631895055+9.788073612508058e-17j), (-3.9079224823370004e-08+6.37821057048236e-17j), (-8.750911710885201e-05+2.0225461703982538e-16j), (-1.7842891641298244e-08+1.6162429198992566e-16j), (0.002133157863912005+4.622256897161652e-17j), (8.339084578195297e-08+4.751595807395607e-17j), (-0.0012572727227923995-1.1779504240338647e-16j)]"
Ctt_t_dens,"[(0.01954503435400741+4.9226382616946985e-08j), (-0.001866767174087815+1.1606245393726284e-07j), (-0.001218275798079364+6.419170701033529e-08j), (0.0002664536839482241+2.3552742400437237e-09j), (-2.9654341299023885e-05+4.65024974508176e-11j), (-0.00013321914128095654+4.3000975118770063e-10j), (-5.4994360200422565e-05+1.9923800125066546e-11j), (2.4828808709821213e-05+5.75623241882829e-13j), (1.7595496061240245e-06+1.2438919638830991e-14j), (-7.312739809945912e-06+1.1987835040182234e-12j), (-2.7875335535126972e-05+1.0391121380227882e-13j), (-8.22825470318425e-06+5.749516793933609e-15j), (2.4377580470755458e-06+1.3426619501018063e-16j), (1.1971231848268566e-06-2.848465549806815e-17j), (-6.779212236212423e-06+2.145894197956546e-15j), (-2.574703768588533e-06+3.710415572254845e-16j), (-8.29417531524282e-06+5.98309252468484e-17j), (-2.002039905662541e-06+1.5037616416808094e-17j), (-8.456932935920427e-07-4.629605145749566e-18j), (4.7125085228711427e-07-1.0148057920155244e-17j), (-1.1336090792477885e-06+7.748483275217804e-18j), (-2.282362064878617e-06+1.765081653729785e-17j), (-1.095883233304865e-06+1.2369726496387901e-17j), (-2.964270726812173e-06+1.2057569958895073e-17j), (-6.780248136329531e-07+3.732147279514919e-18j), (-1.3275092082353188e-06-3.1631131411356033e-18j), (1.749324405540115e-07-1.1077866274891406e-17j), (-9.486005648801309e-07+1.6252654654595393e-17j), (-5.542686065923514e-07+5.623211966756715e-18j), (-9.772979905400346e-07+4.3155051868947815e-18j), (-5.550785906979742e-07+2.7814296241705706e-19j), (-1.271636489160263e-06+9.215617991135135e-19j), (-3.0572564910487535e-07+2.17919788267414e-18j), (-1.5377896384531654e-06+2.0150590371541516e-18j), (-1.4114027436817343e-07+1.0552599556762295e-17j)]"
Ctt_b_dens,"[(0.011580454448543973-1.3967261204949378e-07j), (-0.002128264880387142+1.1873990958365637e-07j), (-0.0014460643441174385+6.483745845326364e-08j), (0.0001833743450366358-5.086951392910895e-09j), (-4.751361294131896e-05-1.7214665315042835e-12j), (-4.0044733420343634e-05-6.730466237706306e-10j), (-7.729184946945288e-05+1.9326273938125662e-10j), (1.6188432074338122e-05-8.790119368747288e-12j), (9.136300051114707e-07-2.0008473643847838e-11j), (-5.092619845172403e-06+4.4289006867983475e-12j), (-8.063239452010463e-06-1.761921671211717e-11j), (-1.1194303346165273e-05+3.557646274925428e-11j), (1.3352307457680577e-06+2.3040491669899125e-12j), (1.7768653043582736e-06-9.346772865303751e-12j), (-2.023284857235059e-06-2.9032598917114336e-12j), (-1.3229415097414878e-06-1.5786704205174511e-12j), (-2.5317186455831377e-06-7.19505115897459e-12j), (-2.137585048478711e-06+8.214891689088347e-12j), (-4.885585168472618e-07-1.2192235903881978e-12j), (1.1098225317448512e-06-5.6808190778819226e-12j), (-4.997402189439525e-07+3.2910894154816597e-13j), (-6.538565043054904e-07-2.167609535184437e-13j), (-5.118240739445284e-07+6.187776054334665e-14j), (-9.55769490931671e-07-3.041612190851478e-12j), (-4.3268917269721707e-07+1.6642505258825427e-12j), (-6.773772408524638e-07-2.3125771126420167e-12j), (8.173838594356112e-07-4.655002597409944e-12j), (-2.411121596976283e-07+7.180651772277005e-14j), (-2.0048436066420988e-07+1.914277582004291e-13j), (-2.568541650531828e-07+1.1547586170509088e-13j), (-2.2558632701633658e-07+3.0275232872379e-13j), (-4.3224448688722623e-07-1.1715210260936566e-12j), (-4.2647733954535944e-08-6.083737246424902e-14j), (-7.398685187370806e-07-2.8639572112741202e-12j), (-1.242294096751719e-07+2.0925719846000014e-13j)]"
Bt_1b_dens,"[(-0.03675224132993797+1.426479951705948e-05j), (-9.020861866169544e-06+2.004790209121248e-05j), (-1.024835369299279e-05+7.246949650037022e-06j), (0.003548844927322229+2.785630487872615e-07j), (-6.089270976772355e-06-3.470870867164253e-06j), (-1.8017283193837132e-05-3.975569221615493e-08j), (-7.706731316350338e-07-1.4012616778921983e-06j), (-0.0011537376694010606-1.4271945367712544e-07j), (4.241177155011541e-06+1.309012596600346e-06j), (1.360710397710767e-06+2.538669840896244e-07j), (-4.7156801958663756e-05-2.9416102278696497e-08j), (1.4171975167004063e-06+5.91378937855009e-07j), (0.0005368674275793687+4.853806345798266e-08j), (-2.712929496722752e-06-6.360711884081034e-07j), (5.4571633061031585e-05+7.697681495195106e-09j), (-7.083494536094557e-07-8.268430612311948e-08j), (5.206056680723089e-05+1.3173439293237158e-08j), (-1.199349813778393e-06-3.1545476319726196e-07j), (-0.00028538508666700455-1.9030885168382573e-08j), (1.763971683301499e-06+3.6049274442660176e-07j), (1.5674519958507853e-07+1.117889358855349e-08j), (-4.048140722470973e-05-1.413791049898509e-09j), (2.6270527818180077e-07+2.3192772811294557e-08j), (-4.5878030615575305e-05-5.507522859586936e-09j), (8.659988013169394e-07+1.8672998179211357e-07j), (0.00015418410895270583+8.496788414190257e-09j), (-1.2276102746922674e-06-2.355921160587062e-07j), (2.1844805852496213e-05+3.8781506556153673e-10j), (5.206537167690366e-08+1.1671381864107555e-08j), (2.8163771701882715e-05+6.266058851314803e-10j), (-1.4436520398181349e-08+6.706534088276192e-09j), (4.022302466469289e-05+2.7301442898157175e-09j), (-6.033923063253904e-07-1.1721351309808882e-07j), (-7.213544776150566e-05-3.523562274105669e-09j), (3.6550327282241404e-07+6.86349803368017e-08j)]"
