C,full,bubble,vertex,vertex_T
C1,0.9157091214123603,0.9772439147981686,-0.0615347933858084,6.9407211670915e-06
C4,0.22942975504201274,0.25000000000001243,-0.020570244957999695,0.0007040626929256655
C5,0.20660993762679358,0.25,-0.04339006237320643,0.0
C6,0.26541562195822255,0.25,0.015415621958222558,0.0
C7,0.1833297552643287,0.25,-0.06667024473567128,0.0
C8A,-0.09084076046578954,-0.09084076046581627,2.6729934590043644e-14,0.0
C8B,-0.09084076046574584,-0.09084076046581627,7.042440593969603e-14,0.0
C9,-0.18168152093163253,-0.18168152093163253,0.0,0.0
C10,0.027957914900949832,0.0,0.027957914900949832,0.0
C11,-0.05880568433142898,0.0,-0.05880568433142898,0.0
C12,0.21118534450360849,0.24999999999994096,-0.03881465549633249,0.0
C13,0.5,0.5,0.0,0.0
Ct1,0.8608933636136739,0.8704330513414833,-0.009539687727809412,-5.821513604174691e-06
Ct2,0.8603612023152942,0.8704330513416263,-0.010071849026332041,-6.7195230938531185e-06
Ctt,0.7858239317492938,0.77930958013423,0.0065143516150637775,1.053573271549635e-05
Cμ1,-0.5019194457753002,-0.5173350677334906,0.015415621958190313,0.01541562195822201
Cμ2,-0.32003528275272813,-0.3354509047110337,0.015415621958305611,0.015415621958233481
Cμt1,-0.2728262445337311,-0.27282624453376014,2.903259586971528e-14,2.047365260560952e-14
Cμt2,-0.4547104075562266,-0.454710407556217,-9.602648125504067e-15,2.037923559936418e-14
