C,full,bubble,vertex,vertex_T
C1,0.7126577051681545,0.7272439147981686,-0.014586209630014094,6.9407211670915e-06
C4,0.0034593134288429315,-2.213921810478766e-15,0.0034593134288451455,-2.2491432602562072e-07
C5,0.2385250951355483,0.25,-0.011474904864451706,0.0
C6,0.25831178755095213,0.25,0.00831178755095213,0.0
C7,0.1833297552643287,0.25,-0.06667024473567128,0.0
C8A,0.02957938498310563,0.029579384983138546,-3.291944766776362e-14,0.0
C8B,0.02957938498310458,0.029579384983138546,-3.3966411301098794e-14,0.0
C9,0.05915876996627709,0.05915876996627709,0.0,0.0
C10,0.0031599452056873204,0.0,0.0031599452056873204,0.0
C11,-0.019786692415403838,0.0,-0.019786692415403838,0.0
C12,0.005848233181716811,4.53130449786374e-14,0.005848233181671499,0.0
C13,0.5,0.5,0.0,0.0
Ct1,0.6185965991096076,0.6204330513415548,-0.0018364522319471441,-5.821513604174691e-06
Ct2,0.6180398984969417,0.6204330513415548,-0.0023931528446130097,-6.7195230938531185e-06
Ctt,0.5305781259926109,0.52930958013423,0.001268545858380904,1.053573271549635e-05
Cμ1,-0.4180811986713282,-0.42639298622226646,0.008311787550938277,0.008311787550953235
Cμ2,-0.41808119867127014,-0.42639298622226646,0.00831178755099631,0.008311787550960556
Cμt1,-0.3637683260449637,-0.3637683260449725,8.80528053988574e-15,5.339036113095767e-15
Cμt2,-0.3637683260449834,-0.36376832604497245,-1.096096021033094e-14,5.338194270263863e-15
