Key,Values
C8A_v,"[(5.180741182892052e-06+2.4261139029049422e-05j), (0.0049293328117754245+9.305080578461928e-07j), (0.0005233522536645184+3.470258032438732e-07j), (-6.682000450967217e-06-8.654922612875342e-06j), (-0.0018478284212068636-1.5744629960835292e-07j), (1.5965330084617994e-07+2.890176515078898e-06j), (-0.0003169423103900963-6.363172702601213e-08j), (2.460828551265888e-06+5.1358456116432415e-06j), (0.000995930977799011+5.698020486963666e-08j), (0.00014664728805804621+2.03606855530562e-09j), (3.3079357088156e-07-1.3646818369595634e-06j), (0.0002265431901817407+1.9716501641055227e-08j), (-9.85632054066803e-07-3.3866985978555134e-06j), (-0.0006426038119394851-3.237786728097487e-08j), (-1.724091917792159e-07+3.639690528518113e-07j), (-9.315138658794731e-05-9.185735813203716e-10j), (-2.3541020228172303e-07+6.634495117237225e-07j), (-0.00018214353755425714-9.818529670031978e-09j), (4.1838731472177597e-07+2.2713524280951758e-06j), (0.00046085475264447633+2.3723061454582826e-08j), (5.330250885708182e-05+2.389946692336214e-09j), (5.4993063488625294e-08+2.4356797784907067e-08j), (6.747426386529402e-05+2.476020044612252e-09j), (1.3592226264811572e-07-2.941395971301977e-07j), (0.0001632585433102896+8.197291856919604e-09j), (-1.7733249503954412e-07-1.4653739749793442e-06j), (-0.00034095398082951696-1.8139407406494227e-08j), (7.019959155465129e-09-2.401281690883673e-07j), (-3.618687299617327e-05-2.7631643894827616e-09j), (-4.5284767140583306e-09-1.738645259099507e-07j), (-5.90303657221722e-05-3.735472553044921e-09j), (-7.367663452567214e-08+1.1542360064427637e-07j), (-0.00017520143944474212-1.016627456004145e-08j), (5.3767023543827516e-08+8.624721530300728e-07j), (0.00019287151639039494+1.13401639777653e-08j)]"
C8A,"[(-0.09732226620646303+2.426113902904975e-05j), (0.004927912166887814+9.305080578136866e-07j), (0.0005244846714088608+3.470258032489008e-07j), (0.029888383538744314-8.654922612871291e-06j), (-0.0018463966878025791-1.5744629963711216e-07j), (-0.00781367176822065+2.8901765150005594e-06j), (-0.0003176051382303085-6.363172697168254e-08j), (-0.016185655322173434+5.135845611630662e-06j), (0.0009946428452261426+5.69802048515897e-08j), (0.00014685992824098904+2.0360685615611927e-09j), (0.0033425765665644194-1.364681836949583e-06j), (0.00022687262556749248+1.97165016431883e-08j), (0.010112447652058284-3.3866985978302337e-06j), (-0.0006414929991312427-3.237786724627741e-08j), (-0.0007651060917775761+3.639690529128578e-07j), (-9.312430268090742e-05-9.185736166006058e-10j), (-0.0015245917857011114+6.634495117304309e-07j), (-0.000182223895254535-9.81852965940115e-09j), (-0.006560972543640864+2.271352428107743e-06j), (0.0004599314722575144+2.3723061472938728e-08j), (5.3142584624260976e-05+2.389946680551775e-09j), (-0.0001523921247520804+2.435679777918088e-08j), (6.729539096827618e-05+2.476020082637422e-09j), (0.0006274311252659386-2.9413959713709316e-07j), (0.0001631334284065222+8.197291854375852e-09j), (0.004145607941280323-1.465373974933037e-06j), (-0.0003402079423633542-1.813940733148648e-08j), (0.0006522186184307981-2.401281691346739e-07j), (-3.5960256629775144e-05-2.7631643466877525e-09j), (0.0004916370865973225-1.738645258933315e-07j), (-5.873127398757285e-05-3.735472524303705e-09j), (-0.00021133886314527993+1.1542360068210332e-07j), (-0.0001749071237112829-1.0166274571409463e-08j), (-0.002390815124100255+8.624721530441222e-07j), (0.00019211603402131285+1.1340163962398046e-08j)]"
C8B_b,"[(-0.09732744694764592+3.2792329746739907e-19j), (-1.4206448876103468e-06-3.2506246173061917e-17j), (1.1324177443423817e-06+5.027612102640783e-18j), (0.02989506553919528+4.049919594601875e-18j), (1.431733404284508e-06-2.8759237555412585e-17j), (-0.007813831421521497-7.833881438943114e-17j), (-6.628278402121731e-07+5.432959331343346e-17j), (-0.0161881161507247-1.2579553483927337e-17j), (-1.2881325728683244e-06-1.8046963460998234e-17j), (2.126401829428093e-07+6.25557302502793e-18j), (0.003342245772993538+9.980296020318291e-18j), (3.2943538575177573e-07+2.1330721893477e-18j), (0.010113433284112351+2.5279741692209454e-17j), (1.1108128082423398e-06+3.4697459736193885e-17j), (-0.0007649336825857969+6.104648164957158e-17j), (2.708390703988444e-08-3.5280234149803826e-17j), (-0.0015243563754988297+6.708346238432429e-18j), (-8.035770027785781e-08+1.0630826831161202e-17j), (-0.0065613909309555855+1.2566965277765688e-17j), (-9.232803869619278e-07+1.8355902977453486e-17j), (-1.599242328208433e-07-1.1784438952186433e-17j), (-0.00015244711781556904-5.726187560161315e-18j), (-1.7887289701783474e-07+3.8025169987193145e-17j), (0.0006272952030032904-6.895484937415544e-18j), (-1.2511490376741083e-07-2.5437525768745264e-18j), (0.0041457852737753625+4.6307126293216026e-17j), (7.460384661627512e-07+7.500774470492861e-17j), (0.0006522115984716427-4.6306589173132206e-17j), (2.2661636639812947e-07+4.279500905082856e-17j), (0.0004916416150740365+1.6619207405273986e-17j), (2.990917345993528e-07+2.8741215516382706e-17j), (-0.00021126518651075425+3.7826939698611493e-17j), (2.943157334592406e-07-1.1368012064276823e-17j), (-0.002390868891123799+1.4049280663778462e-17j), (-7.554823690820941e-07-1.536725461733668e-17j)]"
C8B_v,"[(5.529965535955527e-06+2.4619516323325555e-05j), (0.004929533036728653+8.845298874910743e-07j), (0.0005233304292815836+3.5194177464928256e-07j), (-6.8473875772970324e-06-8.85846914482062e-06j), (-0.001847971812559604-1.247191038501936e-07j), (2.602375693077376e-07+2.985628101940664e-06j), (-0.00031695081461507145-6.164092523464828e-08j), (2.5771315399768115e-06+5.27660888426238e-06j), (0.0009960371293215742+3.280948677969233e-08j), (0.0001466630642816061-1.5713005577483165e-09j), (2.82375187950908e-07-1.41356178182711e-06j), (0.0002265617410045427+1.532694745018076e-08j), (-1.0688382034040701e-06-3.486430260603804e-06j), (-0.0006426862015027449-1.3630010691447697e-08j), (-1.6195226957565835e-07+3.782442712298451e-07j), (-9.316589459091805e-05+2.346593528641388e-09j), (-2.1180563185436658e-07+6.88170489979716e-07j), (-0.0001821652134810194-4.730217824095558e-09j), (4.770337372607961e-07+2.340833878425396e-06j), (0.0004609208060053399+8.667858845415144e-09j), (5.331214685452308e-05+2.985460664751837e-10j), (5.764119097483246e-08+2.4263058140550006e-08j), (6.748594922460351e-05-9.00876139804372e-11j), (1.2542591967369522e-07-3.0556583644543434e-07j), (0.00016328181584373066+2.8084980862256195e-09j), (-2.1637257231639405e-07-1.5111818849577643e-06j), (-0.00034100541618307777-6.360180012635059e-09j), (-2.372973390333224e-09-2.4794270491884895e-07j), (-3.6193299037655055e-05-1.4215198770774023e-09j), (-1.1911289751219485e-08-1.7932982663550472e-07j), (-5.9040682867695906e-05-1.5314588810306798e-09j), (-6.987722332200569e-08+1.2025046499794963e-07j), (-0.00017522944538546077-3.7699441161880424e-09j), (7.780576380358245e-08+8.899627698895799e-07j), (0.00019290068231842217+4.7837004946582575e-09j)]"
C8B,"[(-0.09732191698210996+2.4619516323325884e-05j), (0.004928112391841042+8.84529887458568e-07j), (0.000524462847025926+3.519417746543102e-07j), (0.029888218151617983-8.85846914481657e-06j), (-0.0018465400791553195-1.2471910387895282e-07j), (-0.007813571183952189+2.9856281018623253e-06j), (-0.00031761364245528364-6.164092518031869e-08j), (-0.016185539019184722+5.276608884249801e-06j), (0.0009947489967487059+3.2809486761645365e-08j), (0.00014687570446454893-1.5713005514927435e-09j), (0.0033425281481814888-1.4135617818171296e-06j), (0.0002268911763902945+1.5326947452313835e-08j), (0.010112364445908947-3.486430260578524e-06j), (-0.0006415753886945025-1.3630010656750238e-08j), (-0.0007650956348553725+3.7824427129089156e-07j), (-9.313881068387816e-05+2.346593493361154e-09j), (-0.001524568181130684+6.881704899864244e-07j), (-0.00018224557118129726-4.730217813464731e-09j), (-0.006560913897218325+2.340833878437963e-06j), (0.000459997525618378+8.667858863771048e-09j), (5.315222262170224e-05+2.9854605469074475e-10j), (-0.0001523894766245942+2.4263058134823818e-08j), (6.730707632758567e-05-9.008757595526722e-11j), (0.0006274206289229641-3.055658364523298e-07j), (0.00016315670093996327+2.808498083681867e-09j), (0.004145568901203046-1.5111818849114572e-06j), (-0.000340259377716915-6.360179937627314e-09j), (0.0006522092254982523-2.4794270496515555e-07j), (-3.596668267125693e-05-1.4215198342823932e-09j), (0.0004916297037842853-1.793298266188855e-07j), (-5.874159113309655e-05-1.5314588522894643e-09j), (-0.00021133506373407625+1.2025046503577655e-07j), (-0.00017493512965200154-3.769944127556054e-09j), (-0.0023907910853599953+8.899627699036292e-07j), (0.00019214519994934008+4.783700479291003e-09j)]"
C12_b,"[(0.24999828894763315+1.3274688905409743e-17j), (-0.13486476281690124+1.168227840853131e-17j), (-0.04535114729077678-2.713271897906371e-17j), (4.806784207639583e-07+3.6335992901535374e-18j), (0.027413898776941135+1.99480494243124e-17j), (1.9402246908829053e-08+9.06001127999468e-17j), (0.009235363739942649-7.536560351489863e-17j), (-1.897916230004096e-07+3.688972414719062e-17j), (-0.012149365733224587+3.472157457384828e-17j), (-0.0018942735581201201+2.3028797160648323e-17j), (-9.366836443660357e-08-3.626777035333445e-17j), (-0.004256793469117501+9.690056916589196e-19j), (7.175792105917883e-08-9.068000552337068e-19j), (0.007104084706313841-5.88939272836282e-17j), (1.0688376425625966e-07-6.768061612675024e-17j), (0.0009005085970932715+6.025453573588191e-17j), (9.728869552343028e-08-6.591703039761571e-18j), (0.0026549811806612354-1.951563910473908e-18j), (-1.7940182608273218e-08-4.9323016491351666e-17j), (-0.004831211314360585-2.9327668765732895e-17j), (-0.00041761631974538495+5.490043693170572e-17j), (-8.509685632857527e-08-3.290442420419179e-17j), (-0.0005578666752370978-2.5194995016079164e-17j), (-8.525376635028169e-08-2.0521894393742487e-17j), (-0.0019995756406876323-4.0399884527887446e-17j), (-8.04109108352515e-09-1.0439945772705269e-16j), (0.0035098327653032176-1.1582794388876293e-16j), (6.131741324015847e-08+7.650466506333424e-17j), (0.00024919019049857-5.34376145763793e-17j), (7.014592309582702e-08-1.8018230437781286e-17j), (0.0004374059884927551-1.0833890208561403e-16j), (7.586779825769231e-08-7.256774538199812e-17j), (0.001868217551515068-2.913793338554793e-17j), (2.0819498234733227e-08-2.3501167349586978e-17j), (-0.0017600595582824862+4.391018798566293e-17j)]"
C12_v,"[(-0.035268831672553715-2.0362078283500138e-05j), (-3.0025185361464765e-06+3.1212432832356015e-05j), (-8.023606418189953e-06+9.841470318371589e-06j), (0.0032879143338429805+1.0564558344589462e-06j), (-8.442343799402434e-06-7.0381540024610074e-06j), (3.611492094236245e-05+2.2179841773833423e-07j), (-3.7307250279697722e-06-1.9935823231149743e-06j), (-0.0009422965636162183-1.4438132012966579e-07j), (2.9503929943892654e-06+3.498294027591401e-06j), (6.488312508267763e-07+5.247818940103597e-07j), (-3.690321873827012e-05-4.2797730412550465e-08j), (1.5705798657968585e-06+1.0479146885592328e-06j), (0.00039772681848698765+3.450030956145848e-08j), (-1.1344894786998636e-06-2.230692339490488e-06j), (1.3647023739210152e-05+2.5888680908691066e-09j), (-2.2032759679093437e-08-3.129064745990092e-07j), (1.8722529904823645e-05+1.1455418436358353e-08j), (-6.667326789691413e-07-7.460362551572026e-07j), (-0.00020063405353899414-1.0276043625951368e-08j), (4.821096393857788e-07+1.6119569062533312e-06j), (-5.540310562084848e-08+1.725544793117899e-07j), (-8.561486861761069e-06+1.1842287686744975e-09j), (-4.902335284888273e-08+2.198021864720487e-07j), (-1.0441096100849911e-05-2.8806903088980406e-09j), (3.0330044780313e-07+6.2726245664453e-07j), (0.00010795787568049963+3.6146713543946765e-09j), (-2.4713094299872537e-07-1.2058036438719388e-06j), (9.00421432481997e-06-5.6616954585159e-10j), (3.754643273462325e-08-1.0932367110097444e-07j), (7.46834350156087e-06-9.979474139967664e-10j), (5.374851423048314e-08-1.8353297662152408e-07j), (6.045364046067881e-06-7.985782336692384e-11j), (-1.19388488798668e-07-6.458837999808376e-07j), (-5.4117277716526707e-05-1.5299295658584356e-09j), (5.467226851740683e-08+6.36891675164761e-07j)]"
C12,"[(0.21472945727507944-2.0362078283486863e-05j), (-0.13486776533543737+3.12124328323677e-05j), (-0.04535917089719497+9.841470318344457e-06j), (0.0032883950122637442+1.0564558344625798e-06j), (0.027405456433141732-7.03815400244106e-06j), (3.613432318927128e-05+2.2179841782893433e-07j), (0.009231633014914678-1.99358232319034e-06j), (-0.0009424863552392187-1.4438132009277607e-07j), (-0.012146415340230199+3.4982940276261226e-06j), (-0.0018936247268692933+5.247818940333886e-07j), (-3.6996887102706725e-05-4.279773044881823e-08j), (-0.004255222889251704+1.0479146885602018e-06j), (0.0003977985764080468+3.450030956055168e-08j), (0.007102950216835141-2.2306923395493817e-06j), (1.3753907503466412e-05+2.5888680231884903e-09j), (0.0009004865643335924-3.1290647453875465e-07j), (1.8819818600347075e-05+1.145541842976665e-08j), (0.0026543144479822664-7.460362551591542e-07j), (-0.00020065199372160241-1.0276043675274385e-08j), (-0.004830729204721199+1.6119569062240035e-06j), (-0.00041767172285100577+1.7255447936669035e-07j), (-8.646583718089645e-06+1.1842287357700733e-09j), (-0.0005579156985899466+2.198021864468537e-07j), (-1.0526349867200192e-05-2.880690329419935e-09j), (-0.0019992723402398292+6.272624566041301e-07j), (0.0001079498345894161+3.6146712499952188e-09j), (0.003509585634360219-1.2058036439877668e-06j), (9.065531738060129e-06-5.66169469346925e-10j), (0.0002492277369313046-1.0932367115441206e-07j), (7.538489424656697e-06-9.979474320149969e-10j), (0.00043745973700698557-1.8353297672986298e-07j), (6.121231844325574e-06-7.985789593466922e-11j), (0.0018680981630262692-6.458838000099755e-07j), (-5.4096458218291976e-05-1.529929589359603e-09j), (-0.001760004886013969+6.368916752086712e-07j)]"
Cmut1_b,"[(-0.28885252926420746+1.507401444421578e-17j), (-0.3902410868685488+7.578901117667841e-18j), (-0.3893305528167019-6.538507652125035e-18j), (-0.38930984962330833-6.606307007795188e-19j), (-0.38943723068094177-7.127876161381059e-19j), (-0.3893097870669664+3.185724451339892e-18j), (-0.38931429905715653+1.3219741138530392e-18j), (-0.3893098013547862+2.4432303207362642e-18j), (-0.3893506667367587+4.814429545373516e-19j), (-0.3893101901124966-1.3030542934932962e-19j), (-0.3893097861462181+4.434325909053834e-19j), (-0.3893115589904906+5.337441236283252e-20j), (-0.3893097910536838-1.5203322821723964e-19j), (-0.38932840326548496-1.5240083439308938e-19j), (-0.38930978719159465-5.72590088805714e-19j), (-0.38930997951356244-3.4448559140164884e-19j), (-0.3893097869146051-2.5261747377933614e-19j), (-0.3893110594877298-3.427890414186593e-19j), (-0.38930978832775986-1.6701185847147416e-18j), (-0.38932000497580066-5.960256090712674e-19j), (-0.3893098892322714+6.004918414450405e-20j), (-0.38930978771657593-1.6463827619906226e-19j), (-0.38930997503361126-2.6632786231086525e-19j), (-0.38930978740051947-9.936319825526545e-20j), (-0.38931103846266757+8.372224819958821e-20j), (-0.38930978763610175+1.812414987955711e-18j), (-0.38931591497934337+1.0267604365407597e-18j), (-0.3893097879100622-3.4234105230803505e-19j), (-0.389309869724213-1.1725188821663574e-19j), (-0.3893097878598925-1.7546254635498082e-19j), (-0.3893100050494984-1.767459535706755e-19j), (-0.38930978760285584-3.728252980547926e-19j), (-0.38931127811325184-1.670788907264783e-19j), (-0.38930978755512813-4.590437267426488e-19j), (-0.3893124390390034-5.458876959880086e-19j)]"
Cmut1_v,"[(-3.396921564660364e-05+1.6826993027311582e-06j), (7.644842885534725e-06-9.345116609916198e-07j), (-1.350142791390723e-07-3.015705285262428e-08j), (2.0169843959641087e-07+2.835846140412834e-07j), (1.099265311758078e-06-4.7458441774711455e-07j), (-2.9586609903198243e-09+5.8754283100399555e-08j), (-1.1261831840662812e-07-1.897732046377636e-08j), (1.6518319745739258e-07+1.424576842604128e-07j), (3.932618806059214e-07-2.466669528147196e-07j), (-6.436935058125984e-09-8.722430421350119e-09j), (1.0480702321631067e-08+1.6897658039377205e-08j), (-5.10658005281178e-08-1.561670323662663e-08j), (1.0321509588652553e-07+7.541569597116914e-08j), (1.959973950457485e-07-1.4425628635955164e-07j), (8.475458389309449e-09+2.0832523845068713e-09j), (3.2993378054379387e-09-4.9054573489099274e-09j), (1.589444560862359e-08+5.226181769710878e-09j), (-2.0648775267684818e-08-1.3805486794640554e-08j), (7.56166663090333e-08+3.9504302993199776e-08j), (1.2110753211350082e-07-9.08500853730492e-08j), (3.6578107243850103e-09-1.7413432409733228e-09j), (5.0222348201047594e-09+3.617376941712529e-10j), (2.271771054091794e-09-2.7224306837655336e-09j), (1.5983402854704373e-08+1.9679549800841564e-09j), (-2.9649659417814745e-09-1.2866102641409529e-08j), (6.063346830687645e-08+1.9751647283471342e-08j), (7.292453278296843e-08-5.466550473398921e-08j), (1.1129497162054822e-09+5.104973207602038e-10j), (9.498161888286574e-10-7.450105263992546e-10j), (2.9581366923870363e-09+4.0021576336957303e-10j), (9.721600734248228e-10-1.933633221689174e-09j), (1.7711225464408618e-08+1.461980717767157e-09j), (1.3504653871170279e-08-1.631900037899665e-08j), (5.29047825620259e-08+9.770654677775297e-09j), (-1.522905983806918e-08-1.7222405920587165e-08j)]"
