C,full,bubble,vertex,vertex_T
C1,0.7123704062364543,0.7267707338476942,-0.01440032761123987,1.4254776336593402e-05
C4,0.003462195732724438,-3.203038188697437e-16,0.0034621957327247584,-1.0379858977663665e-07
C5,0.23954324227366236,0.25,-0.010456757726337654,0.0
C6,0.25729768891350974,0.25,0.007297688913509715,0.0
C7,0.18431998649626025,0.25,-0.06568001350373975,0.0
C8A,0.029592947804883047,0.02959294780488259,4.586651801073877e-16,0.0
C8B,0.02959294780488183,0.02959294780488259,-7.607871029509538e-16,0.0
C9,0.05918589560976518,0.05918589560976518,0.0,0.0
C10,0.003157518948523067,0.0,0.003157518948523067,0.0
C11,-0.01775444663984737,0.0,-0.01775444663984737,0.0
C12,0.005647515671662942,1.2882034861765317e-15,0.005647515671661654,0.0
C13,0.5,0.5,0.0,0.0
Ct1,0.6181487279082497,0.620290030303976,-0.0021413023957262984,-7.34956595833456e-06
Ct2,0.6175680276005134,0.620290030303976,-0.002722002703462596,-7.2625734467054405e-06
Ctt,0.5310227963084474,0.529410037822381,0.0016127584860663906,9.150200330671321e-06
Cμ1,-0.4189565585279953,-0.4262542474415047,0.007297688913509412,0.007297688913509598
Cμ2,-0.41895655852799496,-0.4262542474415047,0.0072976889135097315,0.007297688913509913
Cμt1,-0.3638028442104259,-0.36380284421042586,-7.294599554455775e-17,1.4870213960464997e-16
Cμt2,-0.36380284421042586,-0.36380284421042586,-2.682356929122515e-17,1.6029523553432271e-16
