C,full,bubble,vertex,vertex_T
C1,0.6846270775760437,0.6738296253839607,0.01079745219208291,-1.4254776336593402e-05
C4,-0.11504467443533997,-0.11504467443533997,5.7340928435934324e-18,-5.927224242580544e-17
C5,0.2562572123558655,0.25,0.006257212355865515,0.0
C6,0.2407977645752257,0.25,-0.00920223542477429,0.0
C7,0.18431998649626025,0.25,-0.06568001350373975,0.0
C8A,0.005085179556759484,-6.282300944178209e-15,0.005085179556765766,0.0
C8B,0.005082742812087982,-6.282300944178209e-15,0.005082742812094265,0.0
C9,-1.2564601888356418e-14,-1.2564601888356418e-14,0.0,0.0
C10,-0.0029436919810304205,0.0,-0.0029436919810304205,0.0
C11,0.015459447780639797,0.0,0.015459447780639797,0.0
C12,-0.12271552641133052,-0.12271552641133103,5.184778339375013e-16,0.0
C13,0.5,0.5,0.0,0.0
Ct1,0.5653191622864487,0.5638189591673642,0.0015002031190844913,7.34956595833456e-06
Ct2,0.5662752878468517,0.5638189591673642,0.0024563286794874566,7.2625734467054405e-06
Ctt,0.46607355200555206,0.46917363613274077,-0.0031000841271886927,-9.150200330671321e-06
Cμ1,-0.4354564828662804,-0.4262542474415077,-0.009202235424772694,-0.009202235424772498
Cμ2,-0.4354564828662805,-0.42625424744150764,-0.009202235424772888,-0.009202235424772684
Cμt1,-0.36380284421042886,-0.36380284421042874,-1.2500388167243753e-16,2.9343059354384506e-15
Cμt2,-0.3638028442104289,-0.3638028442104288,-1.212351259526778e-16,2.9351995551978023e-15
