Key,Values
C5_b,0.25
C5_v,"[(-0.030704162435457406+2.637145670031717e-14j), (0.0013578752618301623+9.55206867794106e-15j), (0.0006099448201008202+7.426403442096797e-16j), (-0.0034991706480236983+5.067671544943685e-15j), (0.0005231742864856596+3.787566633511424e-15j), (-0.0002916596390746879+1.032176785408284e-15j), (0.0002375322850185921+1.4960543555119167e-16j), (-0.000978646826577131+1.794036573346307e-15j), (0.0002462647938703723+1.9931553696285588e-15j), (8.76189501239247e-05-4.3402324677019195e-17j), (-6.886799521344258e-05+3.631458197650046e-16j), (0.00010790823592924523+3.583728179437722e-17j), (-0.0003554130504858115+7.627894970850452e-16j), (0.00012712336774123252+1.2252412611106887e-15j), (-1.5508600780547626e-05+1.5476699386822244e-16j), (3.763789584323588e-05-4.779394885559859e-17j), (-2.0390405389287053e-05+1.3287883013388586e-16j), (5.276536421846725e-05+3.647435321549673e-17j), (-0.00013348622245009308+3.186085492754518e-16j), (6.907232218579229e-05+7.817280840102173e-16j), (1.5906571239565964e-05-1.3011171564104962e-17j), (-5.637483387530535e-06+2.900763442326188e-17j), (1.7639356158350233e-05-2.5027900389052362e-17j), (-5.688391900124907e-06+3.854440053954233e-17j), (2.687197396878314e-05+6.165047218011259e-17j), (-3.802734940600791e-05+1.1781186582197284e-16j), (3.979990451044968e-05+5.188674478834472e-16j), (-3.685832642969763e-06-4.790497433233828e-18j), (8.056865662723679e-06-3.9038484441954715e-17j), (-3.152996859659477e-06+2.2985098924223974e-17j), (9.135617972194086e-06+1.0704836915884163e-17j), (6.352118637212531e-07+2.3940200809204662e-17j), (1.5327434620680768e-05+7.673095184690301e-17j), (9.28481941184559e-06-1.7726845811426852e-17j), (3.2022525929612116e-05+2.8639638564475824e-16j)]"
C5,"[(0.2192958375645426+2.637145670031717e-14j), (0.2513578752618302+9.55206867794106e-15j), (0.2506099448201008+7.426403442096797e-16j), (0.2465008293519763+5.067671544943685e-15j), (0.2505231742864857+3.787566633511424e-15j), (0.24970834036092532+1.032176785408284e-15j), (0.2502375322850186+1.4960543555119167e-16j), (0.24902135317342286+1.794036573346307e-15j), (0.25024626479387035+1.9931553696285588e-15j), (0.25008761895012394-4.3402324677019195e-17j), (0.24993113200478656+3.631458197650046e-16j), (0.25010790823592927+3.583728179437722e-17j), (0.2496445869495142+7.627894970850452e-16j), (0.25012712336774123+1.2252412611106887e-15j), (0.24998449139921947+1.5476699386822244e-16j), (0.2500376378958432-4.779394885559859e-17j), (0.2499796095946107+1.3287883013388586e-16j), (0.25005276536421844+3.647435321549673e-17j), (0.2498665137775499+3.186085492754518e-16j), (0.2500690723221858+7.817280840102173e-16j), (0.25001590657123957-1.3011171564104962e-17j), (0.24999436251661247+2.900763442326188e-17j), (0.25001763935615834-2.5027900389052362e-17j), (0.24999431160809987+3.854440053954233e-17j), (0.2500268719739688+6.165047218011259e-17j), (0.249961972650594+1.1781186582197284e-16j), (0.2500397999045105+5.188674478834472e-16j), (0.24999631416735704-4.790497433233828e-18j), (0.25000805686566274-3.9038484441954715e-17j), (0.24999684700314034+2.2985098924223974e-17j), (0.25000913561797217+1.0704836915884163e-17j), (0.2500006352118637+2.3940200809204662e-17j), (0.2500153274346207+7.673095184690301e-17j), (0.25000928481941187-1.7726845811426852e-17j), (0.2500320225259296+2.8639638564475824e-16j)]"
C6_b,0.25
C6_v,"[(0.008501402363977383-4.7583517132663245e-15j), (-0.003421084956063772-5.601575334219457e-16j), (-0.0012204948601971203+8.171470124036865e-16j), (0.0016759293578905649-1.293352148000614e-15j), (-0.0009762166567915589-5.477963837347758e-16j), (0.0002649054079649748-3.6519003025057104e-16j), (-0.0003758527031461187+3.837760446284243e-16j), (0.000571399769771986-4.997511753723071e-16j), (-0.0003975728303705158-4.582259685659783e-16j), (-0.00011201546966614472+2.0385780875446793e-16j), (7.890603325890298e-05-1.2618395767498874e-16j), (-0.00015079964234577964+1.803564894016973e-16j), (0.00022947056062911508-1.991650319076926e-16j), (-0.00019038674565601525-3.752102939006994e-16j), (2.2889532550564144e-05-4.4616267832415877e-17j), (-4.2907109025027485e-05+1.0089779126511014e-16j), (2.859980088277951e-05-4.120646304737107e-17j), (-6.890332898213038e-05+7.637344060023595e-17j), (9.19004038624747e-05-5.739919179032557e-17j), (-9.905789574763317e-05-3.0262413170285174e-16j), (-1.6230291389685972e-05+5.260870245423275e-17j), (9.132977984249665e-06-1.009848951702103e-17j), (-1.902383798823582e-05+4.9679876046701385e-17j), (1.0122621715382371e-05-3.7384191748766114e-18j), (-3.4035789212021705e-05+2.032714705136399e-17j), (2.828580341749299e-05+1.405802898739668e-17j), (-5.325701573477341e-05-2.690013201266322e-16j), (4.98804563188338e-06-1.2828060894189174e-18j), (-7.982839772127453e-06+3.5960486056041366e-17j), (4.220621379596178e-06-2.1554373321835545e-19j), (-9.972484560298747e-06+1.9820920237935994e-17j), (1.8160375030508777e-06+1.0329722910179674e-17j), (-1.8639298165206208e-05-1.9404666290912893e-18j), (-3.677158272254702e-06+7.359144940781954e-17j), (-3.382555493232936e-05-3.0548516783992425e-16j)]"
C6,"[(0.2585014023639774-4.7583517132663245e-15j), (0.24657891504393623-5.601575334219457e-16j), (0.24877950513980288+8.171470124036865e-16j), (0.25167592935789057-1.293352148000614e-15j), (0.24902378334320843-5.477963837347758e-16j), (0.250264905407965-3.6519003025057104e-16j), (0.2496241472968539+3.837760446284243e-16j), (0.250571399769772-4.997511753723071e-16j), (0.2496024271696295-4.582259685659783e-16j), (0.24988798453033387+2.0385780875446793e-16j), (0.2500789060332589-1.2618395767498874e-16j), (0.24984920035765423+1.803564894016973e-16j), (0.2502294705606291-1.991650319076926e-16j), (0.24980961325434398-3.752102939006994e-16j), (0.2500228895325506-4.4616267832415877e-17j), (0.24995709289097498+1.0089779126511014e-16j), (0.25002859980088277-4.120646304737107e-17j), (0.24993109667101787+7.637344060023595e-17j), (0.2500919004038625-5.739919179032557e-17j), (0.24990094210425237-3.0262413170285174e-16j), (0.2499837697086103+5.260870245423275e-17j), (0.25000913297798427-1.009848951702103e-17j), (0.24998097616201176+4.9679876046701385e-17j), (0.2500101226217154-3.7384191748766114e-18j), (0.24996596421078798+2.032714705136399e-17j), (0.2500282858034175+1.405802898739668e-17j), (0.24994674298426522-2.690013201266322e-16j), (0.25000498804563187-1.2828060894189174e-18j), (0.24999201716022787+3.5960486056041366e-17j), (0.2500042206213796-2.1554373321835545e-19j), (0.2499900275154397+1.9820920237935994e-17j), (0.25000181603750304+1.0329722910179674e-17j), (0.2499813607018348-1.9404666290912893e-18j), (0.24999632284172774+7.359144940781954e-17j), (0.24996617444506766-3.0548516783992425e-16j)]"
C7_b,0.25
C7_v,(-0.04261909080897673+1.0693419288086906e-15j)
C7,(0.20738090919102325+1.0693419288086906e-15j)
C8A_b,"[(-0.09779307887363443-5.718194795328939e-17j), (0.0003353865731921474-2.5086421875803e-17j), (-0.0006114709977304391+1.7004563567852347e-17j), (0.030764028316045074+5.418752677811374e-17j), (2.4741691680508875e-05-5.889954471426451e-17j), (-0.009493307829492639-8.178125825745141e-17j), (7.052480869345403e-05+8.543611589431516e-17j), (-0.017198442863441427-5.480477032437568e-17j), (0.0003334798757009857-6.270218799902629e-17j), (0.0006417718980883507-2.56617404864972e-17j), (0.005273576080645214+1.5954613689988966e-17j), (-0.0002618265274769992+2.34169602428736e-17j), (0.011118273502847033+7.182378471829141e-17j), (-0.0006475542016702836+3.670459501329583e-17j), (-0.0029229456594322446+6.148730339671754e-17j), (-0.0005522371324253658-5.800055751860009e-17j), (-0.0034243933820148715-2.3885017267225562e-18j), (0.00046116504917097706+9.210677816713627e-18j), (-0.00748622200589245-2.025405134337964e-17j), (0.0004817864624456665+3.91497430426788e-17j), (0.0004887677240912719+1.3541898289776663e-17j), (0.0019362124849763348+4.942649862911616e-18j), (0.0003944886228400634+3.790597904122671e-17j), (0.002395815120382928-1.450231574353789e-17j), (-0.00019673400973943973-2.451630104411833e-17j), (0.004942577278490402+8.085305125510891e-17j), (-0.0005875521916271351+1.125347890284717e-16j), (-0.0013750523626955861-5.741379988748244e-17j), (-0.0003113148326988146+4.008824411006515e-17j), (-0.0014832343595620615+2.0457953695619247e-17j), (-0.0006927946208089254+5.587398095764653e-17j), (-0.0018005448766696074+3.89151833058216e-17j), (0.00018032630134526224-4.463717878023291e-17j), (-0.0029882808133141446-3.2633689182860294e-17j), (0.0017783373820804138-6.4088256673806656e-18j)]"
