C,full,bubble,vertex,vertex_T
C1,0.7072375653596868,0.7216982159717397,-0.014460650612052789,3.594394928521473e-05
C4,0.003315416693275848,-1.1970090136853615e-16,0.0033154166932759677,-2.002082879520734e-08
C5,0.2416059170855043,0.25,-0.008394082914495695,0.0
C6,0.25529786532513626,0.25,0.005297865325136277,0.0
C7,0.18692775925667865,0.25,-0.06307224074332136,0.0
C8A,0.02958954454353744,0.029589544543537842,-4.0077645428542063e-16,0.0
C8B,0.029589544543538317,0.029589544543537842,4.7522219365875015e-16,0.0
C9,0.059179089087075684,0.059179089087075684,0.0,0.0
C10,0.0030959235278145477,0.0,0.0030959235278145477,0.0
C11,-0.013691948239631966,0.0,-0.013691948239631966,0.0
C12,0.00504832856120491,7.820901962866342e-16,0.005048328561204128,0.0
C13,0.5,0.5,0.0,0.0
Ct1,0.6150048702583976,0.6179435064413767,-0.002938636182979233,-8.427038084569463e-06
Ct2,0.6145358139493243,0.6179435064413767,-0.0034076924920524295,-6.758057663596853e-06
Ctt,0.5313385318186059,0.5291050590154383,0.0022334728031676776,6.070870891567352e-06
Cμ1,-0.41946625038254826,-0.4247641157076889,0.005297865325140632,0.0052978653251406355
Cμ2,-0.41946625038254837,-0.4247641157076889,0.005297865325140534,0.005297865325140455
Cμt1,-0.36369804062416894,-0.36369804062416894,-5.7181425808293e-18,7.777236832565158e-17
Cμt2,-0.36369804062416894,-0.36369804062416894,-3.4570360878662584e-18,7.74544831199452e-17
