C,full,bubble,vertex,vertex_T
C1,0.6796836602657409,0.6681136787418511,0.01156998152388977,-3.594394928521473e-05
C4,-0.1157416705749151,-0.11574167057491501,-1.0011224269967182e-16,-4.96978734127338e-17
C5,0.2544532064706003,0.25,0.004453206470600333,0.0
C6,0.24268598640420552,0.25,-0.007314013595794474,0.0
C7,0.18692775925667865,0.25,-0.06307224074332136,0.0
C8A,0.0038525068319025637,-3.9391038945206925e-16,0.0038525068319029574,0.0
C8B,0.0038507344635453685,-3.9391038945206925e-16,0.0038507344635457623,0.0
C9,-7.878207789041385e-16,-7.878207789041385e-16,0.0,0.0
C10,-0.0028605486403682438,0.0,-0.0028605486403682438,0.0
C11,0.011767220066394806,0.0,0.011767220066394806,0.0
C12,-0.12266993120447682,-0.12266993120447675,-7.212917426962505e-17,0.0
C13,0.5,0.5,0.0,0.0
Ct1,0.5636452445371234,0.5611514153737127,0.0024938291634106794,8.427038084569463e-06
Ct2,0.5644790195960168,0.5611514153737127,0.003327604222304005,6.758057663596853e-06
Ctt,0.46496643258178405,0.4689134109285941,-0.00394697834681008,-6.070870891567352e-06
Cμ1,-0.43207812930348055,-0.4247641157076891,-0.007314013595791411,-0.007314013595791558
Cμ2,-0.4320781293034805,-0.42476411570768907,-0.007314013595791429,-0.007314013595791452
Cμt1,-0.36369804062416905,-0.363698040624169,-2.939186091072412e-17,2.2163098179622808e-16
Cμt2,-0.36369804062416905,-0.36369804062416905,-2.0676248291977185e-17,2.1934060470685243e-16
