Key,Values
C8A_v,"[(1.9771425914756047e-05+3.5259568117662136e-05j), (0.0022901820195618647+2.2803900960336923e-06j), (0.0006041307856259638-8.316620575352942e-08j), (-4.9655483773814795e-05-1.5669796870546358e-05j), (0.00019081543227676256-2.7046896983809726e-07j), (3.81365631676433e-05+9.287426904601929e-06j), (-0.0003087666108478808-4.370076477297028e-08j), (2.3822516872558863e-05+1.1120874978180184e-05j), (-0.0008264831940243501+4.043313711509404e-08j), (7.691077124679762e-05+4.579688370025686e-07j), (-1.7440836066472655e-05-7.113744867951127e-06j), (0.00014379798598922118-9.451125613905888e-08j), (-6.356158044974356e-06-8.437553224874401e-06j), (0.0010612979023010853-7.58276341450608e-08j), (7.823188320487611e-06+5.5441776921136474e-06j), (9.849271934484621e-06-3.8888920138777623e-07j), (5.0735175839077895e-06+5.6263157688921386e-06j), (-5.521379842877569e-05+2.5557164419959435e-07j), (-1.9759200286359077e-06+6.353288369542204e-06j), (-0.0011677491853881344-1.0838686115099625e-07j), (-5.788306351793437e-05+3.2608909919197027e-07j), (-2.0704451184610003e-07-4.573034363779895e-06j), (-5.0616674329895746e-05+2.441670371852876e-07j), (3.7680766438086107e-06-4.501477834860215e-06j), (6.9119766390101175e-06-1.3224844048909058e-07j), (1.515298216216748e-05-4.570257340708742e-06j), (0.0012272413107777822+1.9551437331386225e-07j), (-2.445981591064593e-06+4.037111709773705e-06j), (7.732616206639677e-05-1.855559736406098e-07j), (-9.617837258853209e-06+3.951080789184626e-06j), (6.916747284695203e-05-3.7301163183432763e-07j), (-1.2249014162638916e-05+3.6342496312134807e-06j), (1.2763857934952328e-05+7.980484192912027e-08j), (-2.4693132106673015e-05+2.984862017171977e-06j), (-0.0013032742938892347+2.897764088099181e-07j)]"
C8A,"[(-0.09778221522061192+3.525956811757562e-05j), (0.0021320936649708196+2.280390095999291e-06j), (0.0009245002572170651-8.316620572769732e-08j), (0.030763864536026916-1.5669796870441495e-05j), (8.713519657602386e-05-2.7046896990278156e-07j), (-0.009599416007701606+9.287426904505e-06j), (-0.0003657300452059397-4.3700764673699705e-08j), (-0.017250719922258982+1.1120874978090458e-05j), (-0.0007500775521918903+4.043313705474475e-08j), (-0.00013333077372835404+4.579688369507008e-07j), (0.005479145892605277-7.113744867925864e-06j), (0.0002279682278278351-9.451125611207745e-08j), (0.01120266058840418-8.43755322476878e-06j), (0.001050564075431284-7.582763410481643e-08j), (-0.0032609108435723705+5.544177692179038e-06j), (0.00019478420502863303-3.8888920143797707e-07j), (-0.003687722637425453+5.6263157688867785e-06j), (-0.00020587980132983133+2.5557164420827533e-07j), (-0.007577171052048484+6.35328836947599e-06j), (-0.0010886941487007972-1.0838686111055812e-07j), (-0.0002186729513304971+3.260890991985539e-07j), (0.002352059072411274-4.5730343637886126e-06j), (-0.0001693655223765706+2.4416703721571223e-07j), (0.00266557917742079-4.501477834857972e-06j), (8.966785117398648e-05-1.3224844051074995e-07j), (0.005028923775354689-4.570257340583893e-06j), (0.0011181982588330105+1.9551437343884363e-07j), (-0.0018779806257190035+4.037111709730661e-06j), (0.0001721244992896753-1.855559735955169e-07j), (-0.0019069813569761996+3.9510807892053155e-06j), (0.00025509207388612227-3.7301163177050544e-07j), (-0.0020292168003847315+3.6342496312398543e-06j), (-4.1064031712873117e-05+7.980484186907118e-08j), (-0.0030564586986526155+2.9848620171083852e-06j), (-0.0014554722238192559+2.8977640881125643e-07j)]"
C8B_b,"[(-0.09780198664652667-8.651418550041108e-17j), (-0.0001580883545910452-3.440124176268285e-17j), (0.0003203694715911012+2.5832114317409623e-17j), (0.03081352001980073+1.0486199782280495e-16j), (-0.0001036802357007387-6.468432196520204e-17j), (-0.00963755257086925-9.693005513628417e-17j), (-5.696343435805893e-05+9.927057617861147e-17j), (-0.01727454243913154-8.97254842681513e-17j), (7.640564183245983e-05-6.034928924784641e-17j), (-0.00021024154497515166-5.1867811736483684e-17j), (0.00549658672867175+2.526309418920625e-17j), (8.417024183861392e-05+2.6981425372947822e-17j), (0.011209016746449153+1.0562118224549322e-16j), (-1.0733826869801437e-05+4.0244374898741324e-17j), (-0.0032687340318928583+6.539066627443076e-17j), (0.0001849349330941484-5.0200839173174064e-17j), (-0.003692796155009361-5.360325334014307e-18j), (-0.00015066600290105563+8.680992382521401e-18j), (-0.007575195132019848-6.62141884365766e-17j), (7.905503668733727e-05+4.0438139734995386e-17j), (-0.00016078988781256272+6.583613015207184e-18j), (0.00235226611692312-8.71778478124559e-18j), (-0.00011874884804667483+3.042463791175642e-17j), (0.0026618111007769814+2.2425971982593737e-18j), (8.275587453497637e-05-2.1659375949083503e-17j), (0.005013770793192521+1.2484958967046662e-16j), (-0.00010904305194477164+1.2498137113165633e-16j), (-0.001875534644127939-4.304431422467575e-17j), (9.479833722327854e-05+4.509291378006986e-17j), (-0.0018973635197173464+2.0689335884574785e-17j), (0.00018592460103917025+6.38221751469006e-17j), (-0.002016967786222093+2.6373647213872446e-17j), (-5.3827889647825445e-05-6.00490916213407e-17j), (-0.0030317655665459426-6.359203801373978e-17j), (-0.00015219792993002108+1.3383119142992563e-18j)]"
C8B_v,"[(1.8342032344144498e-05+3.9124698067911215e-05j), (0.002290781574136731+2.574133035621636e-06j), (0.0006040932111070615-1.3099733044188544e-07j), (-4.9400518929042947e-05-1.7491304436685116e-05j), (0.00018808306383764515-4.223084612590083e-07j), (3.842855543799872e-05+1.0333606743987559e-05j), (-0.0003087257727489902-5.6734719490279595e-08j), (2.3954930909178876e-05+1.2397553385226406e-05j), (-0.0008229900277545052+1.6177849979943183e-07j), (7.714152895025423e-05+5.217840429823701e-07j), (-1.7574792997063165e-05-7.902395257349643e-06j), (0.00014394875622609867-8.977522767609349e-08j), (-6.5107078860280616e-06-9.396736128506002e-06j), (0.001057504878599019-1.9312858586159523e-07j), (7.746761616391253e-06+6.1526748093399024e-06j), (9.443806897787665e-06-4.445987804809962e-07j), (5.0636754822463325e-06+6.24619444407448e-06j), (-5.553368011363904e-05+2.663615737846537e-07j), (-1.8883214465095344e-06+7.071095354439545e-06j), (-0.0011638225450560447-1.7025179131696176e-08j), (-5.7352892335584095e-05+3.7463818250568565e-07j), (-2.982839545631814e-08-5.072542638293632e-06j), (-5.007990449762329e-05+2.850442018396633e-07j), (3.857973457442094e-06-4.99567284790869e-06j), (7.354672255746212e-06-1.2787499588853614e-07j), (1.5147026245199618e-05-5.084397798335283e-06j), (0.0012232488815315785+1.1814412594156082e-07j), (-2.689002829954503e-06+4.47633719212783e-06j), (7.671741700133428e-05-2.195512756590327e-07j), (-9.829187490005692e-06+4.3816358841460105e-06j), (6.854957038135362e-05-4.294184508293744e-07j), (-1.237320220061411e-05+4.0325223938613785e-06j), (1.224849790303168e-05+6.76500489252155e-08j), (-2.4767071433989703e-05+3.3194658519708696e-06j), (-0.0012991270952839844+4.1544504375707736e-07j)]"
C8B,"[(-0.09778364461418253+3.91246980678247e-05j), (0.002132693219545686+2.5741330355872345e-06j), (0.0009244626826981628-1.3099733041605332e-07j), (0.030764119500871687-1.7491304436580253e-05j), (8.440282813690646e-05-4.223084613236926e-07j), (-0.00959912401543125+1.033360674389063e-05j), (-0.00036568920710704916-5.673471939100902e-08j), (-0.01725058750822236+1.239755338513668e-05j), (-0.0007465843859220454+1.6177849973908253e-07j), (-0.00013310001602489743+5.217840429305023e-07j), (0.005479011935674687-7.90239525732438e-06j), (0.00022811899806471258-8.977522764911206e-08j), (0.011202506038563124-9.39673612840038e-06j), (0.0010467710517292174-1.9312858582135087e-07j), (-0.003260987270276467+6.152674809405293e-06j), (0.00019437873999193607-4.4459878053119704e-07j), (-0.003687732479527115+6.24619444406912e-06j), (-0.00020619968301469467+2.6636157379333466e-07j), (-0.007577083453466357+7.0710953543733304e-06j), (-0.0010847675083687073-1.7025179091258035e-08j), (-0.00021814278014814682+3.7463818251226927e-07j), (0.0023522362885276637-5.072542638302349e-06j), (-0.00016882875254429813+2.850442018700879e-07j), (0.0026656690742344236-4.995672847906447e-06j), (9.011054679072258e-05-1.278749959101955e-07j), (0.005028917819437721-5.084397798210434e-06j), (0.0011142058295868069+1.1814412606654219e-07j), (-0.0018782236469578936+4.4763371920847855e-06j), (0.00017151575422461282-2.195512756139398e-07j), (-0.0019071927072073522+4.3816358841667e-06j), (0.00025447417142052386-4.294184507655522e-07j), (-0.002029340988422707+4.0325223938877525e-06j), (-4.1579391744793766e-05+6.76500488651664e-08j), (-0.003056532637979932+3.319465851907278e-06j), (-0.0014513250252140056+4.1544504375841567e-07j)]"
C12_b,"[(0.25000420117977445+1.7884977091942383e-17j), (-0.13397693325345203+4.87890977618477e-18j), (-0.04581249917779446-2.8898388715059205e-17j), (1.6374469412450076e-06+3.528099833688229e-18j), (0.027077955161338364+2.3191762095822743e-17j), (-3.7989421000888482e-06+8.998403329490564e-17j), (0.00939801173847174-7.632783294297951e-17j), (-6.778638768485361e-08+3.3773489866024515e-17j), (-0.012131051385364697+3.9207461062507054e-17j), (-0.0019131131454184908+2.1579626123624566e-17j), (1.9001955996116233e-06-3.547408513968988e-17j), (-0.004261735119019868-1.7550522667109103e-18j), (-8.239460995735885e-07-4.437735046170693e-19j), (0.007267643228858907-5.721531441258278e-17j), (-1.161566599357379e-06-6.688971811558741e-17j), (0.0008873226586925734+6.018677310010156e-17j), (-3.096760149355455e-07-6.492611649909048e-18j), (0.002602836560196926-3.7947076036992655e-18j), (4.1108145162518916e-07-5.1764961059379894e-17j), (-0.005122848677654779-2.802662615875029e-17j), (-0.0004397364421746669+5.445043505499112e-17j), (1.9453445825713486e-07-3.0615907788373665e-17j), (-0.0005760824570266404-2.4599742612396204e-17j), (-7.343753734683003e-07-1.948351464967499e-17j), (-0.001916581024272385-4.2458556523102935e-17j), (-1.0600303702490477e-06-1.053633021290701e-16j), (0.003964010453293246-1.1380395866129878e-16j), (-7.506377206470491e-08+7.67182417703071e-17j), (0.00031985755796277483-5.354603479362785e-17j), (8.827738919833033e-07-1.946738889125203e-17j), (0.000482692706707432-1.0890133196259089e-16j), (2.090136578592712e-06-7.254407503847076e-17j), (0.0016955208771712884-3.008661028647275e-17j), (2.1496186051659017e-06-2.2634129794681773e-17j), (-0.002493175528903606+4.410669962942593e-17j)]"
C12_v,"[(-0.021305936368418453-1.6646537408176522e-05j), (-5.9768115718129145e-05+3.917954249422859e-05j), (-4.140297846523236e-05+1.3207401281167008e-05j), (0.00277636162661672+1.8830541556680524e-06j), (-5.1665933802508064e-05-9.097843784727522e-06j), (6.350833517699162e-05+2.8740110171202433e-07j), (-5.137239800086286e-06-2.3752398557116224e-06j), (-0.0008006363866062532-3.682478536384266e-07j), (3.493271765516536e-05+5.36664350661897e-06j), (1.1078079355177646e-05+6.041148608097329e-07j), (-7.820858167738534e-05-6.91323852950967e-08j), (5.099040345016758e-06+1.1958926542512851e-06j), (0.0003233988958371588+1.256658910318907e-07j), (-1.6664156147228104e-05-4.168529710649809e-06j), (3.872625159780717e-05+6.279533425320398e-09j), (-4.751174673921173e-06-5.162857707263599e-07j), (4.781678516502648e-05+1.6338223860066388e-08j), (5.095161541076154e-07-9.594269212955182e-07j), (-0.0001547531048768339-6.089129158438845e-08j), (2.6354124267077567e-05+3.5660620576791353e-06j), (4.963117705746768e-06+4.3522067431334466e-07j), (-2.1324303846959394e-05-4.189038651710187e-09j), (-9.832875429797343e-07+5.02884359441194e-07j), (-2.97510232727129e-05-5.521390933569554e-09j), (4.696124614700684e-06+9.1580282519187e-07j), (7.916795996360612e-05+3.468391360654043e-08j), (-1.908029988900841e-05-3.170790647056923e-06j), (1.2910226313324374e-05+4.725931012158017e-09j), (-5.933738789545046e-06-4.211717340898205e-07j), (1.4131895077973346e-05+3.1347186953151854e-09j), (-1.4917448130264641e-06-5.33991754659131e-07j), (1.974576221645283e-05+1.5110461990608455e-09j), (-1.1266993163457372e-05-9.767699395390738e-07j), (-3.695578174526845e-05-2.0201185491886544e-08j), (3.0953809843271565e-05+2.6843817117124677e-06j)]"
C12,"[(0.228698264811356-1.6646537408158637e-05j), (-0.13403670136917015+3.917954249423347e-05j), (-0.045853902156259695+1.3207401281138109e-05j), (0.002777999073557965+1.8830541556715805e-06j), (0.027026289227535857-9.09784378470433e-06j), (5.9709393076902774e-05+2.8740110180200834e-07j), (0.009392874498671653-2.3752398557879503e-06j), (-0.000800704172993938-3.682478536046531e-07j), (-0.012096118667709531+5.366643506658177e-06j), (-0.001902035066063313+6.041148608313125e-07j), (-7.630838607777372e-05-6.913238533057079e-08j), (-0.004256636078674851+1.19589265424953e-06j), (0.00032257494973758524+1.2566589103144693e-07j), (0.007250979072711679-4.168529710707025e-06j), (3.756468499844979e-05+6.27953335843068e-09j), (0.0008825714840186523-5.162857706661731e-07j), (4.7507109150090934e-05+1.6338223853573777e-08j), (0.0026033460763510334-9.594269212993129e-07j), (-0.0001543420234252087-6.089129163615341e-08j), (-0.005096494553387701+3.5660620576511087e-06j), (-0.00043477332446892016+4.352206743677951e-07j), (-2.1129769388702258e-05-4.1890386823260945e-09j), (-0.0005770657445696201+5.028843594165943e-07j), (-3.04853986461812e-05-5.521390953053069e-09j), (-0.0019118848996576843+9.158028251494114e-07j), (7.810792959335707e-05+3.468391350117713e-08j), (0.003944930153404238-3.170790647170727e-06j), (1.2835162541259669e-05+4.725931088876259e-09j), (0.00031392381917322976-4.211717341433665e-07j), (1.5014668969956648e-05+3.1347186758477965e-09j), (0.00048120096189440553-5.339917547680323e-07j), (2.1835898795045545e-05+1.5110461265167706e-09j), (0.001684253884007831-9.767699395691604e-07j), (-3.480616314010255e-05-2.0201185514520674e-08j), (-0.0024622217190603344+2.6843817117565744e-06j)]"
Cmut1_b,"[(-0.2905221057499929-8.459351182183147e-17j), (-0.3924026124464138+2.897068029982116e-17j), (-0.3912405149870595-8.93163775674772e-18j), (-0.3912081608476671-7.016544641513751e-19j), (-0.3913623353672254-8.020998886583566e-18j), (-0.3912081091239563+3.6075726178262765e-18j), (-0.39121669823336164+4.097218777364934e-18j), (-0.39120795162944855+2.272145552098096e-18j), (-0.3912577275756659+2.3074251479353096e-18j), (-0.3912091903624244+2.486668863511248e-19j), (-0.39120799352646773+6.357199717034498e-19j), (-0.391211397184534-5.110442587913375e-19j), (-0.39120790650942044-2.192406396889304e-19j), (-0.391231773538638-2.5893687589962747e-19j), (-0.3912079637335376-1.2277070995534555e-18j), (-0.39120838811898057-5.392935799368098e-19j), (-0.3912079517407155-3.486772209322381e-19j), (-0.3912098185580402-3.754536205193982e-19j), (-0.3912079330149576-1.949783285149857e-18j), (-0.391222304482933-1.4103216098536321e-18j), (-0.391208113468427-4.4882247293339364e-20j), (-0.3912079486466748+8.363295303312144e-20j), (-0.3912081928247975-3.1891574837274607e-19j), (-0.3912079377751578-6.906288731589088e-21j), (-0.3912092487753434+2.443692696333927e-19j), (-0.3912079233522247+2.0684123001298733e-18j), (-0.39121777000050856+2.2755879405184997e-18j), (-0.3912079472166804+4.0383474981694263e-19j), (-0.3912080540781214-1.5659332942274172e-19j), (-0.3912079390649542-4.065679978713807e-19j), (-0.39120814479019017-1.7054852294224174e-19j), (-0.39120792757867406-9.005657674771504e-19j), (-0.3912091522669285-7.09662198385869e-19j), (-0.39120791798651117-5.42577111455012e-19j), (-0.3912131683287005-1.069015476044574e-18j)]"
Cmut1_v,"[(-4.969355306538649e-05+1.0293482367956792e-05j), (0.0002159987039802804+5.0725545943683075e-06j), (-0.00010065045553512956-1.4880117407871412e-07j), (4.265455075443281e-05+1.915740954619359e-06j), (-0.00023463601205179558+1.8537892009501992e-06j), (2.7700902251502144e-05-6.590457842684572e-08j), (-3.6938436717425824e-05-1.8334730949995637e-07j), (5.575417745402716e-05+1.6221229412439629e-06j), (-0.00014281295057482092+1.7056099891383088e-06j), (2.7107594337777862e-05-8.454327062754628e-08j), (1.4763309323807429e-05-1.0768925704709543e-08j), (8.931090317134098e-06-1.267384850693087e-07j), (-1.844780773046725e-05+1.4886070337730298e-06j), (-5.010744728138976e-06+1.639440496357303e-06j), (-4.078593364534252e-05+6.030516496780938e-09j), (8.811279259462567e-05-4.3416324264340024e-08j), (-8.660202557418925e-05+1.744406737082314e-08j), (5.851390312573098e-05-7.709467143760529e-08j), (-1.2499635138690306e-05+1.3886198629378086e-06j), (-0.0001333523641211478+1.5712023450325055e-06j), (1.2129736983985014e-05-2.172992421740518e-08j), (-2.4181008682101117e-05+2.175643363358831e-08j), (0.00010246991968143772-1.6263924743431323e-08j), (-8.055641641500608e-05+4.4637858230490066e-08j), (1.0446382850575893e-05-3.68152371824623e-08j), (4.7831149832063785e-05+1.3084836471768858e-06j), (-0.00022866210060346238+1.5030484085038117e-06j), (0.0001156194748446035+2.6994513287045164e-08j), (-4.7273023973153425e-05-8.761436343778117e-09j), (-1.958800230320336e-05+3.682875482013394e-08j), (9.790915863759883e-05+3.5234892651555204e-09j), (1.010857008819712e-05+7.336509606321222e-08j), (-3.906641510936988e-05-4.899281620558637e-09j), (3.444565860148452e-05+1.2446125933392898e-06j), (0.00022873114227053474+1.3494776325941078e-06j)]"
